title,name,location,time,verified,review,aircraft_model,type_of_traveller,seat_type,route,date_flown,rating,seat_comfort_rating,cabin_staff_service_rating,food_and_beverage_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
"""the service was impeccable""",E Besine,France,2025-01-01,Trip Verified," flew with Qatar Airways for a round trip between Paris CDG and Manila, with a layover in Doha. The overall experience was outstanding, both on the outbound and return journeys. The layovers were perfectly coordinated: around 2 hours on the outbound flight and less than an hour on the return. Despite their short duration, everything was handled smoothly and efficiently, without any stress. Onboard, the service was impeccable, with an attentive and professional crew. The food served was of high quality, and the seats were exceptionally comfortable, even on a long-haul flight. I highly recommend Qatar Airways for its seamless organization, exceptional service, and commitment to passenger comfort",,Couple Leisure,Economy Class,Paris CDG to Manila via Doha,December 2024,10,5.0,5.0,5.0,5.0,5.0,5,
cabin crew are warm and friendly,Theona Knight ,Kuwait,2024-12-28,Trip Verified,,,Solo Leisure,Business Class,Doha to Hanoi,December 2024,10,5.0,5.0,5.0,5.0,5.0,5,
nothing arranged for the missed flight,T Nieminen,Finland,2024-12-28,Trip Verified,,,Solo Leisure,Economy Class,Helsinki to Guangzhou via Doha,September 2024,1,2.0,2.0,2.0,2.0,1.0,2,no
"""I was not recognized in any way""",Philippe Gimenez,China,2024-12-24,Trip Verified,"As an emerald platinum member of Finnair Oneworld alliance, I was not recognized in any way: no welcome drink, no words of welcome.  On the HKG-Doha flight, which took 9 hours 30 minutes, I was served was a disgusting snack and a mediocre breakfast with coffee that tasted burnt. The cabin temperature was terribly cold and nothing was done to change things. The icing on the cake was the distant, even contemptuous attitude of the flight attendants to me.",Boeing 777,Solo Leisure,Economy Class,Hong Kong to Paris CDG via Doha,December 2024,3,3.0,1.0,1.0,,2.0,2,no
"""the best we could imagine""",Georgios Noutsis,Greece,2024-12-21,Trip Verified,,Boeing 787-9,Couple Leisure,Economy Class,Hanoi to Athens via Doha,December 2024,10,5.0,5.0,5.0,5.0,5.0,5,
Good seat quality and space,Hy Lai,United Kingdom,2024-12-21,Not Verified,,,Solo Leisure,Economy Class,Athens to Tokyo via Doha,December 2024,4,5.0,2.0,1.0,3.0,2.0,2,no
"""Exceptional service""",Lucette Nyberg,Sweden,2024-12-15,Trip Verified,"Exceptional service, always kind and did their best to make you feel comfortable. Did not have a q suite and the seats may need be refreshed but did not matter when you get nice service good food drinks . I never felt discriminated as i often do because i am overweight, it may sound stupid but for me who travels a bit, that feeling is horrible. Thanks Qatar. Keep up the good job!!!",,Solo Leisure,Business Class,Doha to Cape Town,December 2024,9,4.0,5.0,5.0,5.0,4.0,5,
"""superb experience""",M Darsen,Sweden,2024-12-14,Trip Verified,"As always superb experience! Perfect service, friendly and attentive cabin crew, clean and fresh cabin. Food excellent!",Boeing 787-8,Solo Leisure,Business Class,Doha to Stockholm,November 2024,10,5.0,5.0,5.0,5.0,5.0,4,
"""Perfect service""",M Darsen,Sweden,2024-12-14,Trip Verified,"As always superb experience! Perfect service, friendly and attentive cabin crew, clean and fresh cabin. Food excellent! And took me back to Air France in the 90s on long-haul flights, a lounge in the business class cabin. Excellent for stretching your legs, get a drink and mingle with other passengers. Splendid idea! But not free basic WiFi.",Boeing 777-300ER,Solo Leisure,Business Class,Denpasar to Doha,November 2024,10,5.0,5.0,5.0,5.0,5.0,4,
"""downgraded my plane""",Kevin Kozinchik,Spain,2024-12-14,Trip Verified,"I have flown them 6 times in the last year from Madrid to South Africa via Doha and in business class. Those who have flown on their Q-Suites (777), 787s, A350s, and their older 777 where it was 2 seats on the window with no real divider or privacy, understand there is a huge difference in quality between their planes and the experience overall. When choosing my route for an upcoming trip with them I chose a route that had a Q-suite followed by a 787, as they offer the most privacy and comfort. I just received notice that they have downgraded my plane from Doha to Johannesburg to their oldest configuration of their 777 where there are 2 seats on the window, no real divider, and no privacy at all. I understand that sometimes changes are necessary, however I've spent 3 days now trying to get them to change the 1 leg of my journey, the leg where they downgraded the plane to the old 777, to an alternative flight that would simply put me back on the 787. I'm not looking for an upgrade to a Q-suite, I just don't want to be on the same plane I booked and paid for. However, their service team refuses to make the change without me paying a fare difference. Apparently the only time they will allow a free change is if they downgrade you from the Q-suite, which is ridiculous. If they moved it from a 787 to an A350 it would have been fine, however their old 777 configuration is by no means anywhere near the same quality of experience. There is no flex, no desire to keep your business. I realize I am complaining about a business class experience, which may seem petty to some, however when you fly a lot, spend a lot of money to do so, there should be an expectation of service from the partners you choose.",Boeing 787,Business,Business Class,Madrid to Johannesburg via Doha,January 2025,1,,,,,1.0,2,no
"""serious confusion""",D Mayle,Malaysia,2024-12-13,Trip Verified,"There was serious confusion conveyed by flight attendants to passengers after arriving in Phuket. “Passengers flying on to Penang should disembark at Phuket.” “Passengers going on to Penang should stay seated.” “Passengers who will go on to Penang should come forward now to disembark.” “You should not be trying to disembark yet.” Now you need to disembark at the rear of the plane.” “You should not be coming back here. Return to the front.” Then a scheduled 90 minute layover became 3 hours. Upon arrival in Penang Qatar did not get a jetway, and it was raining hard. After moving forward to disembark we were told by the pilot that the airport is requiring us to sit on the aircraft for 30 minutes until the rain stops. About 40 minutes later the pilot informed us that we will have to wait at least another 10 minutes.",Boeing 777,Business,Economy Class,Doha to Penang via Phuket,December 2024,5,4.0,2.0,4.0,3.0,5.0,3,no
"""too bland or salty""",Harish Vasudevan,United States,2024-12-07,Trip Verified,"The food and choices on the long haul from Bos-Doh was quite stressful. The Economy regular meals were to die for to be honest- some of the best chicken biryani, which you wouldn’t see in the special meal menus. This time it was stuff that neither me nor my family could get half way through. Either too bland or salty. Also the service was slow - kids get super cranky on late night flights without food and no butter, salt, pepper and sugar.  Unlike many other airlines, QR’s economy class is really good. In fact that was my biggest selling point for wanting to fly QR this time- collecting air miles is not an easy job! An older aircraft having >90% occupancy with an out of order toilet plus wi-fi doesn’t help. On the positive side, massive shout out to QR ground staff from Bos for a smooth path from check in to boarding. Also to the Doh- MAA flight pursers for explaining the shortage of on board meal options- only chicken was available in the general category.",A350,Family Leisure,Economy Class,Boston to Chennai via Doha,December 2024,5,4.0,4.0,2.0,2.0,5.0,3,
no feedback in a month,R Keale,Sweden,2024-12-02,Trip Verified,"It started when we checked in at Maldives and the check-in couldn't give us any boarding passes for the second flight between Doha and Copenhagen. They asked us to contact the Qatar Airways service desk after arriving in Doha. We did this upon arrival but was then referred to another Qatar Airways service desk. After queuing our way through the third service desk, we were told that they could not give us a boarding pass due to the flight being overbooked. They wanted us to go to some other service desk several times. After 3 hours of waiting we finally got boarding shortly after check-in at the gate opened. We had to rush to the gate. Since I had not received a boarding pass at the airport, I could not do any purchases from the airport shops as I normally do. While I wasn't checked in, all the updates via Qatar Airways' app on my mobile didn't show up, which features I appreciate. I have sent an email to their customer service support but no feedback in a month.",,Couple Leisure,Economy Class,Maldives to Copenhagen,November 2024,5,3.0,4.0,4.0,4.0,1.0,3,no
"""comfortable 5 hours in the air""",Virginia Bolton,Australia,2024-11-30,Trip Verified,"Qatar Airways is using Oman Air planes and crew on certain sectors. This sector was changed a few months after I booked my ticket, and I didn’t mind so much because I was keen to experience Oman Air. The business class layout is ok, and the seat was very comfortable. There were only 3 passengers travelling in business class on this flight and we were well attended to. The food and wine was good. Nothing more, nothing less. The crew were very pleasant and enjoyed a chat. I find the Qatar entertainment very limited and not a wide selection of movies. The flight itself was very smooth. Overall, a comfortable 5 hours in the air.",A330,Solo Leisure,Business Class,Dar es Salaam to Doha,November 2024,6,4.0,5.0,3.0,1.0,4.0,3,
"""Outstanding flight and crew""",Virginia Bolton,Australia,2024-11-30,Trip Verified,"Outstanding flight and crew. The food and wine were superb. The FA looking after our section was outstanding in her quiet delivery of her service. I had a very different experience on each of the four sectors I flew, and this sector together with the Doha/Nairobi sector were on par. Attentive service, good food and a comfy seat. The entertainment choices are very limited so I usually end up listening to my own music. The seat was very comfortable and I managed to get 6 hours sleep.",A380,Solo Leisure,Business Class,Doha to Sydney,November 2024,9,5.0,5.0,5.0,1.0,4.0,4,
"""far from premium service""",G Aliyev,Russian Federation,2024-11-27,Trip Verified,,A350,Solo Leisure,Business Class,Osaka to Doha,November 2024,5,3.0,1.0,1.0,4.0,4.0,2,no
